lap,speed,tire_wear,fuel,brake_temperature,lap_time
1,291.3,2.1,98.5,382,90.142
2,293.7,6.8,94.1,391,89.876
3,295.1,11.4,89.7,401,89.654
4,294.8,16.2,85.3,412,89.431
5,296.2,21.1,80.9,423,89.213
6,295.9,26.3,76.5,435,89.087
7,297.1,31.2,72.1,448,88.954
8,296.4,36.8,67.7,461,88.821
9,298.3,41.9,63.3,472,88.743
10,297.6,47.1,58.9,481,88.912
11,296.8,52.4,54.5,489,89.134
12,295.2,57.8,50.1,494,89.456
13,294.1,62.3,45.7,498,89.821
14,292.7,66.9,41.3,503,90.234
15,291.3,71.4,36.9,509,90.712
16,289.8,75.8,32.5,514,91.243
17,288.2,79.3,28.1,518,91.876
18,286.7,83.1,23.7,522,92.543
19,285.1,87.4,19.3,527,93.312
20,283.4,91.2,14.9,531,94.187
